"Date","Price","Open","High","Low","Change %"
"30/09/2025","1.878","1.940","1.940","1.858","-0.90%"
"29/09/2025","1.895","1.925","1.925","1.875","-0.58%"
"28/09/2025","1.906","1.880","1.906","1.880","-0.42%"
"26/09/2025","1.914","1.930","1.963","1.878","0.58%"
"25/09/2025","1.903","1.950","1.950","1.888","0.00%"
"24/09/2025","1.903","1.930","1.930","1.883","0.90%"
"23/09/2025","1.886","1.910","1.910","1.873","0.27%"
"22/09/2025","1.881","1.875","1.903","1.869","0.48%"
"19/09/2025","1.872","1.900","1.900","1.851","0.32%"
"18/09/2025","1.866","1.882","1.882","1.843","-0.21%"
"17/09/2025","1.870","1.900","1.900","1.849","-0.48%"
"16/09/2025","1.879","1.920","1.920","1.853","-0.53%"
"15/09/2025","1.889","1.920","1.920","1.865","3.96%"
"12/09/2025","1.817","1.850","1.850","1.795","0.33%"
"11/09/2025","1.811","1.870","1.870","1.799","-0.11%"
"10/09/2025","1.813","1.840","1.840","1.792","0.72%"
"09/09/2025","1.800","1.833","1.833","1.781","0.67%"
"08/09/2025","1.788","1.813","1.813","1.778","1.25%"
"05/09/2025","1.766","1.800","1.800","1.754","-0.17%"
"04/09/2025","1.769","1.800","1.800","1.740","-0.34%"
"03/09/2025","1.775","1.820","1.820","1.760","-0.67%"
"02/09/2025","1.787","1.811","1.811","1.768","-0.28%"
"01/09/2025","1.792","1.830","1.830","1.777","0.39%"